{'loss': 0.2323, 'grad_norm': 0.7232868075370789, 'learning_rate': 2.6444154095894207e-05, 'epoch': 1.41}
{'loss': 0.2327, 'grad_norm': 0.6325475573539734, 'learning_rate': 2.624618917527814e-05, 'epoch': 1.43}
{'loss': 0.2497, 'grad_norm': 1.0089409351348877, 'learning_rate': 2.6048224254662073e-05, 'epoch': 1.44}
{'loss': 0.2338, 'grad_norm': 0.657175600528717, 'learning_rate': 2.5850259334046006e-05, 'epoch': 1.45}
{'loss': 0.25, 'grad_norm': 1.0025227069854736, 'learning_rate': 2.565229441342994e-05, 'epoch': 1.46}
{'loss': 0.2351, 'grad_norm': 0.5946176052093506, 'learning_rate': 2.5454329492813873e-05, 'epoch': 1.47}
{'loss': 0.2407, 'grad_norm': 1.0270674228668213, 'learning_rate': 2.525636457219781e-05, 'epoch': 1.48}
{'loss': 0.2393, 'grad_norm': 0.7368924617767334, 'learning_rate': 2.5058399651581742e-05, 'epoch': 1.5}
{'loss': 0.2413, 'grad_norm': 0.8574703931808472, 'learning_rate': 2.4860434730965672e-05, 'epoch': 1.51}
{'loss': 0.2351, 'grad_norm': 0.6818543672561646, 'learning_rate': 2.4662469810349605e-05, 'epoch': 1.52}
{'loss': 0.2331, 'grad_norm': 0.8268060684204102, 'learning_rate': 2.4464504889733542e-05, 'epoch': 1.53}
{'loss': 0.2387, 'grad_norm': 0.845736026763916, 'learning_rate': 2.4266539969117475e-05, 'epoch': 1.54}
{'loss': 0.2348, 'grad_norm': 0.5479763746261597, 'learning_rate': 2.4068575048501408e-05, 'epoch': 1.56}
{'loss': 0.243, 'grad_norm': 0.8334313631057739, 'learning_rate': 2.387061012788534e-05, 'epoch': 1.57}
{'loss': 0.2342, 'grad_norm': 0.6694256067276001, 'learning_rate': 2.367264520726927e-05, 'epoch': 1.58}
{'loss': 0.2357, 'grad_norm': 1.0332551002502441, 'learning_rate': 2.3474680286653204e-05, 'epoch': 1.59}
{'loss': 0.2397, 'grad_norm': 0.7631381154060364, 'learning_rate': 2.3276715366037138e-05, 'epoch': 1.6}
{'loss': 0.2397, 'grad_norm': 1.0580886602401733, 'learning_rate': 2.307875044542107e-05, 'epoch': 1.62}
{'loss': 0.2279, 'grad_norm': 1.1756428480148315, 'learning_rate': 2.2880785524805007e-05, 'epoch': 1.63}
{'loss': 0.2306, 'grad_norm': 0.9620316624641418, 'learning_rate': 2.268282060418894e-05, 'epoch': 1.64}
{'loss': 0.2241, 'grad_norm': 1.0658702850341797, 'learning_rate': 2.2484855683572874e-05, 'epoch': 1.65}
{'loss': 0.2222, 'grad_norm': 0.689842700958252, 'learning_rate': 2.2286890762956807e-05, 'epoch': 1.66}
{'loss': 0.2222, 'grad_norm': 0.973861813545227, 'learning_rate': 2.2088925842340737e-05, 'epoch': 1.67}
{'loss': 0.2257, 'grad_norm': 0.7011035680770874, 'learning_rate': 2.189096092172467e-05, 'epoch': 1.69}
{'loss': 0.2288, 'grad_norm': 0.455745130777359, 'learning_rate': 2.1692996001108603e-05, 'epoch': 1.7}
{'loss': 0.2315, 'grad_norm': 1.0703027248382568, 'learning_rate': 2.1495031080492536e-05, 'epoch': 1.71}
{'loss': 0.2293, 'grad_norm': 0.9320201873779297, 'learning_rate': 2.1297066159876473e-05, 'epoch': 1.72}
{'loss': 0.2293, 'grad_norm': 1.0277316570281982, 'learning_rate': 2.1099101239260406e-05, 'epoch': 1.73}
{'loss': 0.2315, 'grad_norm': 1.1504536867141724, 'learning_rate': 2.090113631864434e-05, 'epoch': 1.75}
{'loss': 0.2251, 'grad_norm': 1.0171884298324585, 'learning_rate': 2.070317139802827e-05, 'epoch': 1.76}
{'loss': 0.2347, 'grad_norm': 0.7889621257781982, 'learning_rate': 2.0505206477412202e-05, 'epoch': 1.77}
{'loss': 0.2257, 'grad_norm': 0.6826227903366089, 'learning_rate': 2.0307241556796135e-05, 'epoch': 1.78}
{'loss': 0.2278, 'grad_norm': 1.0086497068405151, 'learning_rate': 2.010927663618007e-05, 'epoch': 1.79}
{'loss': 0.2267, 'grad_norm': 1.0715291500091553, 'learning_rate': 1.9911311715564e-05, 'epoch': 1.81}
{'loss': 0.2218, 'grad_norm': 1.0050504207611084, 'learning_rate': 1.9713346794947938e-05, 'epoch': 1.82}
{'loss': 0.227, 'grad_norm': 1.0181483030319214, 'learning_rate': 1.951538187433187e-05, 'epoch': 1.83}
{'loss': 0.2265, 'grad_norm': 0.6098487377166748, 'learning_rate': 1.93174169537158e-05, 'epoch': 1.84}
{'loss': 0.228, 'grad_norm': 0.8154438138008118, 'learning_rate': 1.9119452033099734e-05, 'epoch': 1.85}
{'loss': 0.2306, 'grad_norm': 0.7678669691085815, 'learning_rate': 1.8921487112483668e-05, 'epoch': 1.86}
{'loss': 0.218, 'grad_norm': 1.2281317710876465, 'learning_rate': 1.87235221918676e-05, 'epoch': 1.88}
{'loss': 0.2204, 'grad_norm': 0.9471209645271301, 'learning_rate': 1.8525557271251534e-05, 'epoch': 1.89}
{'loss': 0.2274, 'grad_norm': 0.8317006230354309, 'learning_rate': 1.832759235063547e-05, 'epoch': 1.9}
{'loss': 0.2208, 'grad_norm': 0.6002479195594788, 'learning_rate': 1.8129627430019404e-05, 'epoch': 1.91}
{'loss': 0.2244, 'grad_norm': 1.0470746755599976, 'learning_rate': 1.7931662509403337e-05, 'epoch': 1.92}
{'loss': 0.229, 'grad_norm': 0.9643433690071106, 'learning_rate': 1.7733697588787267e-05, 'epoch': 1.94}
{'loss': 0.227, 'grad_norm': 0.9629321098327637, 'learning_rate': 1.75357326681712e-05, 'epoch': 1.95}
{'loss': 0.2257, 'grad_norm': 1.379903793334961, 'learning_rate': 1.7337767747555133e-05, 'epoch': 1.96}
{'loss': 0.2258, 'grad_norm': 0.7832077741622925, 'learning_rate': 1.7139802826939066e-05, 'epoch': 1.97}
{'loss': 0.2196, 'grad_norm': 0.8698084354400635, 'learning_rate': 1.6941837906323e-05, 'epoch': 1.98}
{'loss': 0.216, 'grad_norm': 0.6315344572067261, 'learning_rate': 1.6743872985706936e-05, 'epoch': 2.0}
{'loss': 0.2093, 'grad_norm': 0.8160634636878967, 'learning_rate': 1.654590806509087e-05, 'epoch': 2.01}
{'loss': 0.2114, 'grad_norm': 0.6749805808067322, 'learning_rate': 1.63479431444748e-05, 'epoch': 2.02}
{'loss': 0.2028, 'grad_norm': 0.7194874286651611, 'learning_rate': 1.6149978223858732e-05, 'epoch': 2.03}
{'loss': 0.2014, 'grad_norm': 0.9235313534736633, 'learning_rate': 1.5952013303242665e-05, 'epoch': 2.04}
{'loss': 0.2034, 'grad_norm': 0.8189939856529236, 'learning_rate': 1.57540483826266e-05, 'epoch': 2.05}
{'loss': 0.202, 'grad_norm': 1.339935541152954, 'learning_rate': 1.555608346201053e-05, 'epoch': 2.07}
{'loss': 0.2043, 'grad_norm': 0.9948961138725281, 'learning_rate': 1.5358118541394465e-05, 'epoch': 2.08}
{'loss': 0.2122, 'grad_norm': 0.8431675434112549, 'learning_rate': 1.51601536207784e-05, 'epoch': 2.09}
